
2024/09/22 (16:33:01) | ===> btop++ v.1.3.2
2024/09/22 (16:33:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/22 (16:33:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/22 (16:33:11) | ===> btop++ v.1.3.2
2024/09/22 (16:33:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/22 (16:33:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/22 (16:33:19) | ===> btop++ v.1.3.2
2024/09/22 (16:33:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/22 (16:33:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/24 (06:17:44) | ===> btop++ v.1.3.2
2024/09/24 (06:17:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/24 (06:17:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/24 (06:18:16) | ===> btop++ v.1.3.2
2024/09/24 (06:18:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/24 (06:18:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/25 (11:32:02) | ===> btop++ v.1.3.2
2024/09/25 (11:32:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (11:32:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/25 (11:33:54) | ===> btop++ v.1.3.2
2024/09/25 (11:33:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (11:33:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/25 (11:53:30) | ===> btop++ v.1.3.2
2024/09/25 (11:53:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (11:53:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/25 (13:14:12) | ===> btop++ v.1.3.2
2024/09/25 (13:14:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/25 (13:14:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/27 (00:23:34) | ===> btop++ v.1.3.2
2024/09/27 (00:23:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (00:23:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/27 (00:23:51) | ===> btop++ v.1.3.2
2024/09/27 (00:23:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (00:23:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/27 (00:23:59) | ===> btop++ v.1.3.2
2024/09/27 (00:23:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (00:23:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/27 (00:24:15) | ===> btop++ v.1.3.2
2024/09/27 (00:24:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/27 (00:24:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/27 (00:33:10) | ===> btop++ v.1.3.2
